date,SJM,isPartial
2016-08-21,65,False
2016-08-28,64,False
2016-09-04,81,False
2016-09-11,64,False
2016-09-18,65,False
2016-09-25,67,False
2016-10-02,78,False
2016-10-09,77,False
2016-10-16,72,False
2016-10-23,62,False
2016-10-30,52,False
2016-11-06,74,False
2016-11-13,48,False
2016-11-20,57,False
2016-11-27,49,False
2016-12-04,63,False
2016-12-11,71,False
2016-12-18,50,False
2016-12-25,50,False
2017-01-01,53,False
2017-01-08,86,False
2017-01-15,58,False
2017-01-22,67,False
2017-01-29,71,False
2017-02-05,64,False
2017-02-12,54,False
2017-02-19,69,False
2017-02-26,71,False
2017-03-05,62,False
2017-03-12,62,False
2017-03-19,62,False
2017-03-26,65,False
2017-04-02,64,False
2017-04-09,60,False
2017-04-16,68,False
2017-04-23,67,False
2017-04-30,67,False
2017-05-07,75,False
2017-05-14,49,False
2017-05-21,71,False
2017-05-28,48,False
2017-06-04,48,False
2017-06-11,61,False
2017-06-18,56,False
2017-06-25,73,False
2017-07-02,62,False
2017-07-09,70,False
2017-07-16,75,False
2017-07-23,69,False
2017-07-30,66,False
2017-08-06,74,False
2017-08-13,75,False
2017-08-20,64,False
2017-08-27,72,False
2017-09-03,61,False
2017-09-10,54,False
2017-09-17,63,False
2017-09-24,62,False
2017-10-01,77,False
2017-10-08,59,False
2017-10-15,65,False
2017-10-22,77,False
2017-10-29,70,False
2017-11-05,71,False
2017-11-12,71,False
2017-11-19,77,False
2017-11-26,74,False
2017-12-03,64,False
2017-12-10,80,False
2017-12-17,72,False
2017-12-24,64,False
2017-12-31,63,False
2018-01-07,61,False
2018-01-14,81,False
2018-01-21,71,False
2018-01-28,63,False
2018-02-04,79,False
2018-02-11,75,False
2018-02-18,79,False
2018-02-25,88,False
2018-03-04,75,False
2018-03-11,80,False
2018-03-18,53,False
2018-03-25,54,False
2018-04-01,73,False
2018-04-08,70,False
2018-04-15,70,False
2018-04-22,79,False
2018-04-29,65,False
2018-05-06,65,False
2018-05-13,64,False
2018-05-20,63,False
2018-05-27,71,False
2018-06-03,87,False
2018-06-10,60,False
2018-06-17,74,False
2018-06-24,44,False
2018-07-01,73,False
2018-07-08,68,False
2018-07-15,55,False
2018-07-22,68,False
2018-07-29,66,False
2018-08-05,81,False
2018-08-12,61,False
2018-08-19,70,False
2018-08-26,76,False
2018-09-02,75,False
2018-09-09,73,False
2018-09-16,58,False
2018-09-23,52,False
2018-09-30,72,False
2018-10-07,100,False
2018-10-14,65,False
2018-10-21,61,False
2018-10-28,62,False
2018-11-04,77,False
2018-11-11,73,False
2018-11-18,59,False
2018-11-25,83,False
2018-12-02,66,False
2018-12-09,59,False
2018-12-16,72,False
2018-12-23,51,False
2018-12-30,63,False
2019-01-06,68,False
2019-01-13,73,False
2019-01-20,69,False
2019-01-27,59,False
2019-02-03,64,False
2019-02-10,58,False
2019-02-17,87,False
2019-02-24,76,False
2019-03-03,80,False
2019-03-10,73,False
2019-03-17,51,False
2019-03-24,56,False
2019-03-31,65,False
2019-04-07,73,False
2019-04-14,78,False
2019-04-21,77,False
2019-04-28,76,False
2019-05-05,72,False
2019-05-12,77,False
2019-05-19,79,False
2019-05-26,54,False
2019-06-02,66,False
2019-06-09,57,False
2019-06-16,77,False
2019-06-23,72,False
2019-06-30,57,False
2019-07-07,82,False
2019-07-14,70,False
2019-07-21,59,False
2019-07-28,71,False
2019-08-04,75,False
2019-08-11,67,False
2019-08-18,78,False
2019-08-25,79,False
2019-09-01,71,False
2019-09-08,66,False
2019-09-15,69,False
2019-09-22,64,False
2019-09-29,64,False
2019-10-06,58,False
2019-10-13,60,False
2019-10-20,59,False
2019-10-27,75,False
2019-11-03,73,False
2019-11-10,55,False
2019-11-17,67,False
2019-11-24,69,False
2019-12-01,75,False
2019-12-08,63,False
2019-12-15,66,False
2019-12-22,57,False
2019-12-29,75,False
2020-01-05,72,False
2020-01-12,61,False
2020-01-19,67,False
2020-01-26,92,False
2020-02-02,72,False
2020-02-09,68,False
2020-02-16,74,False
2020-02-23,73,False
2020-03-01,82,False
