date,WAT,isPartial
2016-08-21,63,False
2016-08-28,68,False
2016-09-04,71,False
2016-09-11,71,False
2016-09-18,71,False
2016-09-25,70,False
2016-10-02,70,False
2016-10-09,73,False
2016-10-16,69,False
2016-10-23,73,False
2016-10-30,75,False
2016-11-06,75,False
2016-11-13,76,False
2016-11-20,74,False
2016-11-27,71,False
2016-12-04,70,False
2016-12-11,75,False
2016-12-18,73,False
2016-12-25,67,False
2017-01-01,71,False
2017-01-08,75,False
2017-01-15,77,False
2017-01-22,74,False
2017-01-29,76,False
2017-02-05,74,False
2017-02-12,76,False
2017-02-19,72,False
2017-02-26,73,False
2017-03-05,74,False
2017-03-12,74,False
2017-03-19,74,False
2017-03-26,72,False
2017-04-02,71,False
2017-04-09,72,False
2017-04-16,70,False
2017-04-23,68,False
2017-04-30,73,False
2017-05-07,76,False
2017-05-14,75,False
2017-05-21,69,False
2017-05-28,74,False
2017-06-04,77,False
2017-06-11,77,False
2017-06-18,75,False
2017-06-25,74,False
2017-07-02,69,False
2017-07-09,70,False
2017-07-16,70,False
2017-07-23,70,False
2017-07-30,69,False
2017-08-06,67,False
2017-08-13,69,False
2017-08-20,70,False
2017-08-27,69,False
2017-09-03,77,False
2017-09-10,75,False
2017-09-17,75,False
2017-09-24,74,False
2017-10-01,77,False
2017-10-08,78,False
2017-10-15,75,False
2017-10-22,76,False
2017-10-29,79,False
2017-11-05,76,False
2017-11-12,77,False
2017-11-19,80,False
2017-11-26,77,False
2017-12-03,73,False
2017-12-10,74,False
2017-12-17,71,False
2017-12-24,68,False
2017-12-31,73,False
2018-01-07,80,False
2018-01-14,78,False
2018-01-21,76,False
2018-01-28,77,False
2018-02-04,73,False
2018-02-11,72,False
2018-02-18,76,False
2018-02-25,71,False
2018-03-04,77,False
2018-03-11,79,False
2018-03-18,75,False
2018-03-25,77,False
2018-04-01,73,False
2018-04-08,74,False
2018-04-15,72,False
2018-04-22,72,False
2018-04-29,74,False
2018-05-06,72,False
2018-05-13,77,False
2018-05-20,76,False
2018-05-27,78,False
2018-06-03,75,False
2018-06-10,75,False
2018-06-17,77,False
2018-06-24,70,False
2018-07-01,69,False
2018-07-08,70,False
2018-07-15,70,False
2018-07-22,71,False
2018-07-29,71,False
2018-08-05,71,False
2018-08-12,71,False
2018-08-19,72,False
2018-08-26,70,False
2018-09-02,73,False
2018-09-09,77,False
2018-09-16,76,False
2018-09-23,74,False
2018-09-30,75,False
2018-10-07,75,False
2018-10-14,73,False
2018-10-21,71,False
2018-10-28,75,False
2018-11-04,78,False
2018-11-11,78,False
2018-11-18,77,False
2018-11-25,77,False
2018-12-02,78,False
2018-12-09,74,False
2018-12-16,70,False
2018-12-23,70,False
2018-12-30,73,False
2019-01-06,82,False
2019-01-13,82,False
2019-01-20,78,False
2019-01-27,80,False
2019-02-03,81,False
2019-02-10,77,False
2019-02-17,76,False
2019-02-24,75,False
2019-03-03,80,False
2019-03-10,79,False
2019-03-17,79,False
2019-03-24,75,False
2019-03-31,73,False
2019-04-07,74,False
2019-04-14,72,False
2019-04-21,69,False
2019-04-28,74,False
2019-05-05,79,False
2019-05-12,75,False
2019-05-19,76,False
2019-05-26,75,False
2019-06-02,78,False
2019-06-09,79,False
2019-06-16,78,False
2019-06-23,76,False
2019-06-30,76,False
2019-07-07,72,False
2019-07-14,72,False
2019-07-21,72,False
2019-07-28,72,False
2019-08-04,73,False
2019-08-11,74,False
2019-08-18,72,False
2019-08-25,73,False
2019-09-01,75,False
2019-09-08,76,False
2019-09-15,76,False
2019-09-22,78,False
2019-09-29,81,False
2019-10-06,82,False
2019-10-13,77,False
2019-10-20,75,False
2019-10-27,79,False
2019-11-03,81,False
2019-11-10,81,False
2019-11-17,81,False
2019-11-24,81,False
2019-12-01,79,False
2019-12-08,82,False
2019-12-15,77,False
2019-12-22,76,False
2019-12-29,79,False
2020-01-05,84,False
2020-01-12,86,False
2020-01-19,85,False
2020-01-26,85,False
2020-02-02,80,False
2020-02-09,81,False
2020-02-16,80,False
2020-02-23,78,False
2020-03-01,82,False
2020-03-08,83,False
2020-03-15,86,False
2020-03-22,85,False
2020-03-29,90,False
2020-04-05,83,False
2020-04-12,82,False
2020-04-19,85,False
2020-04-26,79,False
2020-05-03,83,False
2020-05-10,88,False
2020-05-17,86,False
2020-05-24,92,False
2020-05-31,87,False
2020-06-07,89,False
2020-06-14,87,False
2020-06-21,80,False
2020-06-28,83,False
2020-07-05,81,False
2020-07-12,77,False
2020-07-19,75,False
2020-07-26,77,False
2020-08-02,75,False
2020-08-09,77,False
2020-08-16,78,False
2020-08-23,77,False
2020-08-30,81,False
2020-09-06,85,False
2020-09-13,85,False
2020-09-20,85,False
2020-09-27,85,False
2020-10-04,85,False
2020-10-11,85,False
2020-10-18,85,False
2020-10-25,89,False
2020-11-01,82,False
2020-11-08,85,False
2020-11-15,89,False
2020-11-22,87,False
2020-11-29,85,False
2020-12-06,86,False
2020-12-13,82,False
2020-12-20,77,False
2020-12-27,78,False
2021-01-03,94,False
2021-01-10,100,False
2021-01-17,95,False
2021-01-24,96,False
2021-01-31,100,False
2021-02-07,89,False
2021-02-14,89,False
2021-02-21,85,False
2021-02-28,91,False
2021-03-07,91,False
2021-03-14,96,False
2021-03-21,90,False
2021-03-28,84,False
2021-04-04,90,False
2021-04-11,89,False
2021-04-18,88,False
2021-04-25,79,False
2021-05-02,84,False
2021-05-09,84,False
2021-05-16,94,False
2021-05-23,90,False
2021-05-30,86,False
2021-06-06,87,False
2021-06-13,89,False
2021-06-20,89,False
2021-06-27,84,False
2021-07-04,84,False
2021-07-11,83,False
2021-07-18,82,False
2021-07-25,83,False
2021-08-01,82,False
2021-08-08,82,True
