date,PEAK,isPartial
2016-08-21,60,False
2016-08-28,59,False
2016-09-04,58,False
2016-09-11,58,False
2016-09-18,61,False
2016-09-25,57,False
2016-10-02,59,False
2016-10-09,57,False
2016-10-16,61,False
2016-10-23,57,False
2016-10-30,58,False
2016-11-06,56,False
2016-11-13,57,False
2016-11-20,55,False
2016-11-27,55,False
2016-12-04,56,False
2016-12-11,57,False
2016-12-18,57,False
2016-12-25,64,False
2017-01-01,64,False
2017-01-08,63,False
2017-01-15,62,False
2017-01-22,60,False
2017-01-29,59,False
2017-02-05,61,False
2017-02-12,64,False
2017-02-19,65,False
2017-02-26,63,False
2017-03-05,60,False
2017-03-12,61,False
2017-03-19,60,False
2017-03-26,62,False
2017-04-02,60,False
2017-04-09,60,False
2017-04-16,60,False
2017-04-23,60,False
2017-04-30,60,False
2017-05-07,58,False
2017-05-14,55,False
2017-05-21,58,False
2017-05-28,58,False
2017-06-04,58,False
2017-06-11,59,False
2017-06-18,61,False
2017-06-25,65,False
2017-07-02,67,False
2017-07-09,65,False
2017-07-16,66,False
2017-07-23,66,False
2017-07-30,63,False
2017-08-06,61,False
2017-08-13,66,False
2017-08-20,80,False
2017-08-27,60,False
2017-09-03,62,False
2017-09-10,62,False
2017-09-17,63,False
2017-09-24,63,False
2017-10-01,62,False
2017-10-08,65,False
2017-10-15,60,False
2017-10-22,58,False
2017-10-29,57,False
2017-11-05,62,False
2017-11-12,60,False
2017-11-19,57,False
2017-11-26,60,False
2017-12-03,59,False
2017-12-10,62,False
2017-12-17,59,False
2017-12-24,64,False
2017-12-31,69,False
2018-01-07,66,False
2018-01-14,67,False
2018-01-21,64,False
2018-01-28,70,False
2018-02-04,63,False
2018-02-11,62,False
2018-02-18,65,False
2018-02-25,62,False
2018-03-04,66,False
2018-03-11,65,False
2018-03-18,62,False
2018-03-25,62,False
2018-04-01,61,False
2018-04-08,58,False
2018-04-15,60,False
2018-04-22,59,False
2018-04-29,61,False
2018-05-06,59,False
2018-05-13,58,False
2018-05-20,61,False
2018-05-27,59,False
2018-06-03,58,False
2018-06-10,60,False
2018-06-17,59,False
2018-06-24,67,False
2018-07-01,64,False
2018-07-08,66,False
2018-07-15,66,False
2018-07-22,66,False
2018-07-29,65,False
2018-08-05,67,False
2018-08-12,64,False
2018-08-19,63,False
2018-08-26,62,False
2018-09-02,61,False
2018-09-09,59,False
2018-09-16,59,False
2018-09-23,62,False
2018-09-30,60,False
2018-10-07,60,False
2018-10-14,60,False
2018-10-21,59,False
2018-10-28,59,False
2018-11-04,55,False
2018-11-11,62,False
2018-11-18,63,False
2018-11-25,60,False
2018-12-02,61,False
2018-12-09,61,False
2018-12-16,59,False
2018-12-23,63,False
2018-12-30,69,False
2019-01-06,67,False
2019-01-13,70,False
2019-01-20,66,False
2019-01-27,64,False
2019-02-03,65,False
2019-02-10,65,False
2019-02-17,90,False
2019-02-24,63,False
2019-03-03,64,False
2019-03-10,60,False
2019-03-17,65,False
2019-03-24,61,False
2019-03-31,62,False
2019-04-07,59,False
2019-04-14,62,False
2019-04-21,62,False
2019-04-28,60,False
2019-05-05,57,False
2019-05-12,57,False
2019-05-19,62,False
2019-05-26,63,False
2019-06-02,63,False
2019-06-09,62,False
2019-06-16,62,False
2019-06-23,64,False
2019-06-30,68,False
2019-07-07,62,False
2019-07-14,66,False
