date,AMP,isPartial
2016-08-21,85,False
2016-08-28,85,False
2016-09-04,85,False
2016-09-11,86,False
2016-09-18,86,False
2016-09-25,85,False
2016-10-02,81,False
2016-10-09,83,False
2016-10-16,84,False
2016-10-23,85,False
2016-10-30,87,False
2016-11-06,87,False
2016-11-13,86,False
2016-11-20,86,False
2016-11-27,90,False
2016-12-04,90,False
2016-12-11,89,False
2016-12-18,88,False
2016-12-25,82,False
2017-01-01,89,False
2017-01-08,87,False
2017-01-15,90,False
2017-01-22,88,False
2017-01-29,91,False
2017-02-05,91,False
2017-02-12,86,False
2017-02-19,97,False
2017-02-26,92,False
2017-03-05,94,False
2017-03-12,92,False
2017-03-19,91,False
2017-03-26,91,False
2017-04-02,92,False
2017-04-09,89,False
2017-04-16,91,False
2017-04-23,92,False
2017-04-30,88,False
2017-05-07,88,False
2017-05-14,90,False
2017-05-21,89,False
2017-05-28,85,False
2017-06-04,89,False
2017-06-11,90,False
2017-06-18,89,False
2017-06-25,91,False
2017-07-02,88,False
2017-07-09,90,False
2017-07-16,94,False
2017-07-23,90,False
2017-07-30,90,False
2017-08-06,89,False
2017-08-13,88,False
2017-08-20,85,False
2017-08-27,84,False
2017-09-03,84,False
2017-09-10,88,False
2017-09-17,88,False
2017-09-24,88,False
2017-10-01,82,False
2017-10-08,88,False
2017-10-15,86,False
2017-10-22,88,False
2017-10-29,87,False
2017-11-05,90,False
2017-11-12,91,False
2017-11-19,93,False
2017-11-26,90,False
2017-12-03,88,False
2017-12-10,91,False
2017-12-17,89,False
2017-12-24,85,False
2017-12-31,86,False
2018-01-07,92,False
2018-01-14,85,False
2018-01-21,84,False
2018-01-28,89,False
2018-02-04,86,False
2018-02-11,88,False
2018-02-18,92,False
2018-02-25,90,False
2018-03-04,90,False
2018-03-11,88,False
2018-03-18,91,False
2018-03-25,93,False
2018-04-01,87,False
2018-04-08,92,False
2018-04-15,95,False
2018-04-22,95,False
2018-04-29,94,False
2018-05-06,90,False
2018-05-13,90,False
2018-05-20,89,False
2018-05-27,89,False
2018-06-03,86,False
2018-06-10,86,False
2018-06-17,88,False
2018-06-24,91,False
2018-07-01,86,False
2018-07-08,90,False
2018-07-15,91,False
2018-07-22,94,False
2018-07-29,90,False
2018-08-05,91,False
2018-08-12,88,False
2018-08-19,84,False
2018-08-26,85,False
2018-09-02,84,False
2018-09-09,84,False
2018-09-16,83,False
2018-09-23,83,False
2018-09-30,84,False
2018-10-07,83,False
2018-10-14,80,False
2018-10-21,88,False
2018-10-28,87,False
2018-11-04,81,False
2018-11-11,84,False
2018-11-18,86,False
2018-11-25,91,False
2018-12-02,88,False
2018-12-09,85,False
2018-12-16,89,False
2018-12-23,83,False
2018-12-30,84,False
2019-01-06,85,False
2019-01-13,85,False
2019-01-20,86,False
2019-01-27,87,False
2019-02-03,92,False
2019-02-10,93,False
2019-02-17,90,False
2019-02-24,92,False
2019-03-03,91,False
2019-03-10,89,False
2019-03-17,89,False
2019-03-24,89,False
2019-03-31,85,False
2019-04-07,90,False
2019-04-14,88,False
