date,UPS,isPartial
2016-08-21,62,False
2016-08-28,61,False
2016-09-04,58,False
2016-09-11,61,False
2016-09-18,60,False
2016-09-25,60,False
2016-10-02,57,False
2016-10-09,59,False
2016-10-16,60,False
2016-10-23,59,False
2016-10-30,58,False
2016-11-06,58,False
2016-11-13,62,False
2016-11-20,56,False
2016-11-27,77,False
2016-12-04,77,False
2016-12-11,85,False
2016-12-18,92,False
2016-12-25,61,False
2017-01-01,65,False
2017-01-08,66,False
2017-01-15,60,False
2017-01-22,59,False
2017-01-29,55,False
2017-02-05,57,False
2017-02-12,57,False
2017-02-19,59,False
2017-02-26,60,False
2017-03-05,59,False
2017-03-12,58,False
2017-03-19,58,False
2017-03-26,60,False
2017-04-02,59,False
2017-04-09,56,False
2017-04-16,56,False
2017-04-23,59,False
2017-04-30,61,False
2017-05-07,62,False
2017-05-14,58,False
2017-05-21,60,False
2017-05-28,61,False
2017-06-04,61,False
2017-06-11,68,False
2017-06-18,62,False
2017-06-25,64,False
2017-07-02,58,False
2017-07-09,66,False
2017-07-16,65,False
2017-07-23,64,False
2017-07-30,64,False
2017-08-06,65,False
2017-08-13,62,False
2017-08-20,62,False
2017-08-27,63,False
2017-09-03,63,False
2017-09-10,62,False
2017-09-17,65,False
2017-09-24,62,False
2017-10-01,60,False
2017-10-08,62,False
2017-10-15,65,False
2017-10-22,64,False
2017-10-29,64,False
2017-11-05,63,False
2017-11-12,66,False
2017-11-19,61,False
2017-11-26,82,False
2017-12-03,88,False
2017-12-10,86,False
2017-12-17,97,False
2017-12-24,63,False
2017-12-31,64,False
2018-01-07,67,False
2018-01-14,65,False
2018-01-21,61,False
2018-01-28,59,False
2018-02-04,61,False
2018-02-11,59,False
2018-02-18,58,False
2018-02-25,58,False
2018-03-04,60,False
2018-03-11,58,False
2018-03-18,60,False
2018-03-25,60,False
2018-04-01,57,False
2018-04-08,60,False
2018-04-15,59,False
2018-04-22,57,False
2018-04-29,57,False
2018-05-06,59,False
2018-05-13,61,False
2018-05-20,59,False
2018-05-27,60,False
2018-06-03,63,False
2018-06-10,62,False
2018-06-17,60,False
2018-06-24,58,False
2018-07-01,56,False
2018-07-08,61,False
2018-07-15,60,False
2018-07-22,62,False
2018-07-29,60,False
2018-08-05,59,False
2018-08-12,59,False
2018-08-19,59,False
2018-08-26,59,False
2018-09-02,56,False
2018-09-09,57,False
2018-09-16,57,False
2018-09-23,56,False
2018-09-30,56,False
2018-10-07,54,False
2018-10-14,56,False
2018-10-21,56,False
2018-10-28,55,False
2018-11-04,58,False
2018-11-11,61,False
2018-11-18,56,False
2018-11-25,74,False
2018-12-02,74,False
2018-12-09,75,False
2018-12-16,88,False
2018-12-23,59,False
2018-12-30,67,False
2019-01-06,65,False
2019-01-13,59,False
2019-01-20,58,False
2019-01-27,59,False
2019-02-03,56,False
2019-02-10,59,False
2019-02-17,58,False
2019-02-24,57,False
2019-03-03,57,False
2019-03-10,56,False
2019-03-17,56,False
2019-03-24,57,False
2019-03-31,54,False
2019-04-07,56,False
2019-04-14,56,False
2019-04-21,54,False
2019-04-28,57,False
2019-05-05,59,False
2019-05-12,57,False
2019-05-19,59,False
2019-05-26,59,False
2019-06-02,59,False
2019-06-09,60,False
2019-06-16,61,False
2019-06-23,62,False
2019-06-30,54,False
2019-07-07,67,False
2019-07-14,62,False
2019-07-21,62,False
