date,TSCO,isPartial
2016-08-21,36,False
2016-08-28,16,False
2016-09-04,50,False
2016-09-11,38,False
2016-09-18,34,False
2016-09-25,55,False
2016-10-02,75,False
2016-10-09,67,False
2016-10-16,73,False
2016-10-23,49,False
2016-10-30,31,False
2016-11-06,59,False
2016-11-13,48,False
2016-11-20,59,False
2016-11-27,52,False
2016-12-04,25,False
2016-12-11,47,False
2016-12-18,44,False
2016-12-25,47,False
2017-01-01,63,False
2017-01-08,37,False
2017-01-15,34,False
2017-01-22,57,False
2017-01-29,60,False
2017-02-05,41,False
2017-02-12,44,False
2017-02-19,56,False
2017-02-26,41,False
2017-03-05,40,False
2017-03-12,51,False
2017-03-19,22,False
2017-03-26,50,False
2017-04-02,47,False
2017-04-09,66,False
2017-04-16,64,False
2017-04-23,72,False
2017-04-30,42,False
2017-05-07,45,False
2017-05-14,67,False
2017-05-21,42,False
2017-05-28,39,False
2017-06-04,58,False
2017-06-11,72,False
2017-06-18,64,False
2017-06-25,58,False
2017-07-02,46,False
2017-07-09,42,False
2017-07-16,55,False
2017-07-23,72,False
2017-07-30,52,False
2017-08-06,49,False
2017-08-13,73,False
2017-08-20,75,False
2017-08-27,72,False
2017-09-03,58,False
2017-09-10,53,False
2017-09-17,42,False
2017-09-24,67,False
2017-10-01,67,False
2017-10-08,83,False
2017-10-15,50,False
2017-10-22,44,False
2017-10-29,81,False
2017-11-05,43,False
2017-11-12,76,False
2017-11-19,52,False
2017-11-26,51,False
2017-12-03,68,False
2017-12-10,60,False
2017-12-17,80,False
2017-12-24,67,False
2017-12-31,63,False
2018-01-07,77,False
2018-01-14,95,False
2018-01-21,63,False
2018-01-28,94,False
2018-02-04,48,False
2018-02-11,34,False
2018-02-18,52,False
2018-02-25,51,False
2018-03-04,52,False
2018-03-11,49,False
2018-03-18,31,False
2018-03-25,52,False
2018-04-01,42,False
2018-04-08,63,False
2018-04-15,48,False
2018-04-22,59,False
2018-04-29,37,False
2018-05-06,80,False
2018-05-13,59,False
2018-05-20,51,False
2018-05-27,40,False
2018-06-03,61,False
2018-06-10,54,False
2018-06-17,55,False
2018-06-24,53,False
2018-07-01,71,False
2018-07-08,47,False
2018-07-15,71,False
2018-07-22,56,False
2018-07-29,55,False
2018-08-05,39,False
2018-08-12,48,False
2018-08-19,75,False
2018-08-26,37,False
2018-09-02,81,False
2018-09-09,54,False
2018-09-16,43,False
2018-09-23,46,False
2018-09-30,64,False
2018-10-07,62,False
2018-10-14,60,False
2018-10-21,70,False
2018-10-28,68,False
2018-11-04,38,False
2018-11-11,57,False
2018-11-18,34,False
2018-11-25,53,False
2018-12-02,44,False
2018-12-09,71,False
2018-12-16,61,False
2018-12-23,43,False
2018-12-30,62,False
2019-01-06,85,False
2019-01-13,43,False
2019-01-20,28,False
2019-01-27,50,False
2019-02-03,58,False
2019-02-10,48,False
2019-02-17,66,False
2019-02-24,62,False
2019-03-03,51,False
2019-03-10,43,False
2019-03-17,49,False
2019-03-24,56,False
2019-03-31,43,False
2019-04-07,56,False
2019-04-14,64,False
2019-04-21,52,False
2019-04-28,57,False
2019-05-05,49,False
2019-05-12,54,False
2019-05-19,58,False
2019-05-26,45,False
2019-06-02,50,False
2019-06-09,20,False
2019-06-16,53,False
2019-06-23,58,False
2019-06-30,66,False
2019-07-07,73,False
2019-07-14,65,False
2019-07-21,40,False
2019-07-28,62,False
2019-08-04,44,False
2019-08-11,43,False
2019-08-18,58,False
2019-08-25,40,False
2019-09-01,54,False
2019-09-08,51,False
2019-09-15,68,False
2019-09-22,26,False
2019-09-29,68,False
2019-10-06,67,False
2019-10-13,50,False
2019-10-20,61,False
2019-10-27,38,False
2019-11-03,68,False
2019-11-10,47,False
2019-11-17,40,False
2019-11-24,56,False
2019-12-01,57,False
2019-12-08,63,False
2019-12-15,53,False
2019-12-22,83,False
2019-12-29,55,False
2020-01-05,48,False
2020-01-12,62,False
2020-01-19,73,False
2020-01-26,41,False
2020-02-02,89,False
2020-02-09,62,False
2020-02-16,54,False
2020-02-23,76,False
2020-03-01,50,False
2020-03-08,73,False
2020-03-15,65,False
2020-03-22,68,False
2020-03-29,57,False
2020-04-05,63,False
2020-04-12,51,False
2020-04-19,83,False
2020-04-26,71,False
2020-05-03,55,False
